	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
826	151263191	Acv	fre	1768	Berlin		Caracteres Historiques Des Empereurs, Depuis Auguste jusqu'à Maximin, à l’usage de l’Académie Royale des Gentils-hommes	Jacob	Wegelin	gnd/121644111																		
827	151268460	Acu	fre	1717	A La Haye		La Cyropaedie ; Ou L'Histoire De Cyrus	Xenophon		gnd/118635808							François	Charpentier	gnd/124866719									
828	151281165	Acu	fre	1680	La Haye		L'Ambassadeur Et Ses Fonctions	Abraham	Wicquefort	gnd/104039752																		
829	151284970	Aaus	fre	1736	Berlin		Logique, Ou Réflexions Sur Les Forces De L'Entendement Humain, Et Sur Leur Legitime Usage, Dans La Connoissance De La Verite	Christian	Wolff	gnd/118634771							Jean	Deschamps	gnd/118933086				Georg Paul	Busch	gnd/12308007X			
830	151285160	Aar	fre	1744	Lausanne		La Logique, ou Réflexions sur les forces de l'entendement humain, et sur leur légitime usage, dans la connoissance de la vérité	Christian	Wolff	gnd/118634771							Jean	Deschamps	gnd/118933086									
831	151293805	Aar	fre	1740	Paris		Caprices d'imagination, ou lettres sur différens sujets d'histoire, de morale, de critique, d'histoire naturelle, ^etc.	Jacques-Jean	Bruhier	gnd/1015263674																		
832	151304432	Acus	fre	1767	Londres		Tableau Philosophique, Du Genre Humain Depuis L'Origine Du Monde, Jusqu'a Constantin ; traduit de l'Anglois	Charles	Bordes	gnd/142492299																		
833	151304688	Acus	fre	1716	Maestricht		La Langue	Laurent	Bordelon	gnd/100048552																		
834	151304742	Aar	fre	1708	Amsterdam		Mital ou avantures incroyables, et toute fois, ^etc. Ces avantures contiennent quinze relations d'un voyage rempli d'un tres-grand nombre de differentes sortes de prodiges, de merveilles, d'usages, de coûtumes, d'opinions & de divertissemens	Laurent	Bordelon	gnd/100048552																		
835	151305226	Acr	fre	1715	Amsterdam		Histoire des deux triumvirats, depuis la mort de Catilina jusqu'à celle de Cesar. Depuis celle de Cesar, jusqu'à celle de Brutus. Depuis celle de Brutus, jusqu'à celle d'Antoine	Samuel	Broë	gnd/12403327X							Auguste	Larrey	gnd/1053272200									
836	151313474	Aar	fre	1705	Utrecht		Description de la Livonie, avec une relation de l'origine, du progrès, et de la décadence de l'ordre teutonique ...	...	Blomberg	gnd/1157863035																		
837	151314012	Aar	fre	1679	Paris		Histoire de la conqueste du royaume de Jérusalem sur les Chrestiens par Saladin										...	Cabart de Villermont	gnd/1055590749	Samuel	Broë	gnd/12403327X						
838	151318336	Acr	fre	1730	Paris		Salluste ou histoires de la conjuration de Catilina contre la republique romaine; et de la guerre des Romains contre Jugurtha	Gaius	Sallustius Crispus	gnd/118605097							...	Thyvon	gnd/1055512780									
839	151318603	Acr	fre	1730	Amsterdam		Histoire moderne ou L'état présent de tous les peuples du monde ...	Thomas	Salmon	gnd/124582540																		
840	151322872	Acu	fre	1658	Paris		Les Œvvres De Seneqve	Lucius Annaeus	Seneca	gnd/118613200							François	Malherbe	gnd/11873038X	Pierre	Du Ryer	gnd/118888552						
