	PPN	Signatur 1	Signatur 2	Signatur 3	Signatur 4	Signatur 5	Anmerkung 1	Anmerkung 2	Anmerkung 3	Provenienz 1	Provenienz 2	Provenienz 3
1078	238063690	M: Gs 4° 25:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1079	238505944	M: Cc 617	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1080	239283996	M: Lm 2339	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1081	239336313	M: Ff 79:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Montbail, Marthe Dumas ^de^
1082	239343565	M: Lm 119a:1	Schulenb. B 106:1	leer	leer	leer	leer	leer	leer	leer	leer	leer
1083	239616952	M: Sf 276	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1084	240376218	M: Tq 1187 (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Provenienz: NN / Notiz
1085	240790162	M: Tq 1288	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1086	241468728	M: Lm 625	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1087	241497450	M: Gh 356:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1088	241767520	M: Gv 162	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1089	241856256	M: Lm 3204:6 (2)	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1090	242030734	M: Lm 1817 (1)	Schulenb. B 73 (1)	leer	leer	leer	leer	leer	leer	leer	leer	leer
1091	243262833	M: Ro 383:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1092	243299214	M: Td 238 (2)	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1093	243573979	M: Lm 4° 63:1	Schulenb. P 2° 25:1	leer	leer	leer	leer	leer	leer	leer	leer	leer
1094	243608713	M: Gs 396	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1095	244379696	M: Db 3085	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1096	245760431	M: Gk 510	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1097	245786376	M: Tq 72 (2)	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
